cd,txt,addr,addr2,city,state,zip,phone,contact1,nation,fax,cvo_type,homehtml,ver_elec,newcd,email,payfee,link,autofax,autoemail,latitude,longitude,inactive,extension,note,cme_reqhours,username,password,LegacyCD,obsolete,lastvalidated,validatedby,CertificationBody,isValidate,LicNumRequired,isWFV,isCredStrm,Needs_Search_Info,Search_Info_Text,isManual
AAONA     ,American Association of Nurse Anesthetists                                                                                                                                                                                                                                                                  ,222 S Prospect Ave,                                                                           ,Park Ridge                    ,IL,60068,(855) 526-2262,                                                                                                    ,United States       ,              ,   ,https://www.aana.com/,0,      ,                                                                                                    ,0,1638007,1,1,,,0,,,0,,,,0,,,,1,1,1,1,0,,0
AAOPT     ,American Academy of Optometry                                                                                                                                                                                                                                                                               ,2909 Fairgreen St,                                                                           ,Orlando                       ,FL,32803-5043,(321) 319-4860,                                                                                                    ,                    ,              ,   ,,0,      ,                                                                                                    ,0,1637220,1,1,,,0,,,0,,,,0,,,,1,1,1,1,0,,0
AAOS      ,American Academy of Orthopaedic Surgeons                                                                                                                                                                                                                                                                    ,,                                                                           ,                              ,  ,          ,              ,                                                                                                    ,                    ,              ,   ,,0,      ,                                                                                                    ,0,1637463,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAPACO    ,American Association of Pathologist's Assistants                                                                                                                                                                                                                                                            ,2345 Rice St,Ste 220                                                                    ,Saint Paul                    ,MN,55113-3720,(651) 697-9264,                                                                                                    ,                    ,(651) 317-8048,   ,,0,      ,info@pathassist.org                                                                                 ,0,1637674,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAPCO     ,American Academy of Professional Coders                                                                                                                                                                                                                                                                     ,2233 S Presidents Dr,Ste F                                                                      ,Salt Lake City                ,UT,84120,(800) 626-2633,Higher Education                                                                                    ,United States       ,(801) 236-2258,   ,,1,      ,educationpartners@aapc.com                                                                          ,0,1638104,1,0,,,0,,,0,,,,0,,,,1,1,1,1,0,,0
AAPLHB    ,American Association of Phlebotomy Technicians                                                                                                                                                                                                                                                              ,6615 Reisterstown Rd,Ste LL2                                                                    ,Baltimore                     ,MD,21215,(410) 347-1433,                                                                                                    ,United States       ,(443) 963-1664,   ,https://aaopt.net/verify-certification-status/,0,      ,                                                                                                    ,0,1638408,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAPMR     ,American Academy of Physical Medicine & Rehabilitation                                                                                                                                                                                                                                                      ,9700 Bryn Mawr Ave,Ste 200                                                                    ,Rosemont                      ,IL,60018-5706,(847) 737-6000,                                                                                                    ,                    ,              ,   ,,0,      ,                                                                                                    ,0,1637697,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAPOS     ,American Association for Pediatric Ophthalmology & Strabismus                                                                                                                                                                                                                                               ,655 Beach St,                                                                           ,San Francisco                 ,CA,94109,(415) 561-8505,                                                                                                    ,United States       ,              ,   ,,0,      ,                                                                                                    ,0,1638057,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAPSD     ,American Association of Physician Specialist-Dermatology                                                                                                                                                                                                                                                    ,5550 W Executive Dr,Ste 400                                                                    ,Tampa                         ,FL,33609-1035,              ,                                                                                                    ,USA                 ,              ,   ,,0,      ,                                                                                                    ,0,1637268,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAPSDT    ,American Association of Physician Specialist-Emergency Medicine                                                                                                                                                                                                                                             ,5550 W Executive Dr,Ste 400                                                                    ,Tampa                         ,FL,33609-1035,              ,                                                                                                    ,USA                 ,              ,   ,,0,      ,                                                                                                    ,0,1637269,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAPSFP    ,American Association of Physician Specialist-Family Practice                                                                                                                                                                                                                                                ,5550 W Executive Dr,Ste 400                                                                    ,Tampa                         ,FL,33609-1035,              ,                                                                                                    ,USA                 ,              ,   ,,0,      ,                                                                                                    ,0,1637270,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAPSGM    ,American Association of Physician Specialist-Geriatric Medicine                                                                                                                                                                                                                                             ,5550 W Executive Dr,Ste 400                                                                    ,Tampa                         ,FL,33609-1035,              ,                                                                                                    ,USA                 ,              ,   ,,0,      ,                                                                                                    ,0,1637271,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAPSNP    ,American Association of Physician Specialist-Neurology/Psychiatry                                                                                                                                                                                                                                           ,5550 W Executive Dr,Ste 400                                                                    ,Tampa                         ,FL,33609-1035,              ,                                                                                                    ,USA                 ,              ,   ,,0,      ,                                                                                                    ,0,1637272,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AASECT432 ,"American Association of Sexuality Educators, Counselors & Therapists                                                                                                                                                                                                                                        ",35 E Wacker Dr,Ste 850                                                                    ,Chicago                       ,IL,60601-2101,(202) 449-1099,                                                                                                    ,                    ,(202) 216-9646,   ,www.aasect.org,0,      ,                                                                                                    ,0,1637161,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AASM      ,American Academy of Sleep Medicine                                                                                                                                                                                                                                                                          ,2510 N Frontage Rd,2510 North Frontage Rd                                                     ,Darien                        ,IL,60561-1511,(630) 737-9077,                                                                                                    ,                    ,              ,   ,,0,      ,accreditation@aasmnet.org                                                                           ,0,1635782,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AASNP     ,American Association of Nurse Practitioners                                                                                                                                                                                                                                                                 ,Po Box 12846,Certification Administration                                               ,Austin                        ,TX,78711,(512) 442-4262,                                                                                                    ,United States       ,(515) 442-5221,   ,,0,      ,                                                                                                    ,0,1638066,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AASPS     ,American Association of Physician Specialist                                                                                                                                                                                                                                                                ,5550 W Executive Dr,Ste 400                                                                    ,Tampa                         ,FL,33609-1035,              ,                                                                                                    ,USA                 ,              ,   ,,0,      ,                                                                                                    ,0,1637267,1,1,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AASSM     ,American Association of Medical Personnel                                                                                                                                                                                                                                                                   ,6039 Cypress Gardens Blvd Pmb 306,                                                                           ,Winter Haven                  ,FL,33884-4115,(888) 751-5717,                                                                                                    ,United States       ,              ,   ,,0,      ,                                                                                                    ,0,1638073,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
AAWM      ,American Academy of Wound Management                                                                                                                                                                                                                                                                        ,1800 M ST NW,                                                                           ,Washington                    ,DC,20036,(202) 457-8408,                                                                                                    ,United States       ,              ,   ,https://www.abwmcertified.org,0,      ,                                                                                                    ,0,1638439,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
ABA       ,American Board of Anesthesiology                                                                                                                                                                                                                                                                            ,4208 Six Forks Rd,Ste 1500                                                                   ,Raleigh                       ,NC,27609,(866) 999-7501,                                                                                                    ,United States       ,              ,   ,https://www.theaba.org/,1,      ,                                                                                                    ,0,1635783,0,0,,,0,,,0,,,,0,,,ABMS,1,0,1,1,0,,0
ABACC     ,American Board of Anesthesiology/Critical Care Medicine                                                                                                                                                                                                                                                     ,4208 Six Forks Rd,Ste 1500                                                                   ,Raleigh                       ,NC,27609,(866) 999-7501,                                                                                                    ,United States       ,              ,   ,https://www.theaba.org/,1,      ,                                                                                                    ,0,1635784,1,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABAGE     ,American Board of Anti Aging & Regenerative Medicine                                                                                                                                                                                                                                                        ,1801 N Military Trl,Ste 200                                                                    ,Boca Raton                    ,FL,33431-1810,              ,                                                                                                    ,USA                 ,              ,   ,,0,      ,                                                                                                    ,0,1637273,1,1,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABAHP     ,American Board of Anesthesiology Hospice & Palliative Medicine                                                                                                                                                                                                                                              ,4200 Six Forks Rd,Ste 1100                                                                   ,Raleigh                       ,NC,27609-2687,              ,                                                                                                    ,United States       ,              ,   ,https://theaba.org/subspecialty%20certification%20exams.html,0,      ,                                                                                                    ,0,1638109,0,0,,,0,,,0,,,,0,,,,0,1,1,1,0,,0
ABAI      ,American Board of Allergy & Immunology                                                                                                                                                                                                                                                                      ,510 Walnut St Ste 1700,                                                                           ,Philadelphia                  ,PA,19106-3699,(215) 592-9466,                                                                                                    ,                    ,(215) 592-9411,   ,                                                                                                    ,1,      ,abai@abai.org                                                                                       ,0,1635785,0,0,,,0,,,0,,,,0,,,ABMS,1,0,1,1,0,,0
ABAIC     ,American Board of Allergy & Immunology/Clinical & Laboratory-CLOSED                                                                                                                                                                                                                                         ,510 Walnut St,Ste 1700                                                                   ,Philadelphia                  ,PA,19106-3620,(215) 592-9466,                                                                                                    ,United States       ,(215) 592-9411,   ,,1,      ,                                                                                                    ,0,1635786,0,0,,,0,,,0,,,,0,,,,0,0,1,1,0,,0
ABAM      ,American Board of Addiction Medicine                                                                                                                                                                                                                                                                        ,4300 Montgomery Ave Ste 206,                                                                           ,Bethesda                      ,MD,20814-4448,(301) 656-3378,                                                                                                    ,                    ,(240) 762-5422,   ,http://www.abam.net/,1,      ,                                                                                                    ,0,1635787,0,0,,,0,,,0,,,,0,,,OTHER,1,0,1,1,0,,0
ABAPED    ,American Board of Anesthesiology/Pediatric Anesthesiology                                                                                                                                                                                                                                                   ,4208 Six Forks Rd,Ste 1500                                                                   ,Raleigh                       ,NC,27609-5765,(866) 999-7501,                                                                                                    ,                    ,              ,   ,https://secure.abanes.org/portal/WhosCertified.asp,1,      ,                                                                                                    ,0,1635788,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABAPM     ,American Board of Anesthesiology/Pain Management                                                                                                                                                                                                                                                            ,4208 Six Forks Rd,Ste 1500                                                                   ,Raleigh                       ,NC,27609,(866) 999-7501,                                                                                                    ,United States       ,              ,   ,https://www.theaba.org/,1,      ,                                                                                                    ,0,1635789,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
ABAPMD    ,American Board of Anesthesiology/Pain Medicine                                                                                                                                                                                                                                                              ,4208 Six Forks Rd,Ste 1500                                                                   ,Raleigh                       ,NC,27609,(866) 999-7501,                                                                                                    ,United States       ,              ,   ,https://www.theaba.org/,1,      ,                                                                                                    ,0,1635790,0,0,,,0,,,0,,,,0,,,,1,0,1,1,0,,0
