Record_Data,TFIDF_Matched,TFIDF_Max_Scores,W2VEC_Matched,W2VEC_Max_Scores,GPT3_Matched,GPT3_Max_Scores
"Missouri State Board of Dental Examiners,P.O. Box 1367,Jefferson City,MO,65102","Missouri Dental Board,PO Box 1367,Jefferson City,65102,United States",0.8031452219398726,"Missouri State Board of Nursing,PO Box 656,Jefferson City,65102-0656",0.9998047,"Missouri Dental Board,PO Box 1367,Jefferson City,65102,United States",0.960680287622321
"Oregon Board of Medical Examiners,1500 SW First Ave,Ste 620,Portland,OR,5847","Oregon Medical Board,1500 Sw 1St Ave,Ste 620,Portland,97201-5847",0.7157919325795122,"Minnesota Board of Medical Practice,335 Randolph Ave,Ste 140,Saint Paul,55102,United States",0.9997813,"Oregon Medical Board,1500 Sw 1St Ave,Ste 620,Portland,97201-5847",0.9555752282283134
"Nevada State Board of Osteopathic Medicine,2860 E. Flamingo Rd,Ste G,Las Vegas,NV,89121","American Board of Chiropractic Orthopedists,1680 E Flamingo Rd Ste A,Las Vegas,89119-5130",0.3738190312506472,"Michigan Board of Osteopathic Medicine & Surgery,PO Box 30670,Lansing,48909",0.9997151,"Nevada State Board of Osteopathic Medicine,901 American Pacific Dr Ste D,Henderson,89014-7912",0.944030462676858
"United States Department of Justice,DEA,Washington,DC,20537","Department of Treasury,15th St and Hamilton Place,Washington DC",0.23909709372690108,"Arkansas Department of Health,United States",0.999676,"Drug Enforcement Administration,8701 Morrissette Dr,Springfield,22152-1080,United States",0.8880296163536507
"Nevada State Board of Podiatry,1325 Airmotive Way,Ste 175-1,Reno,NV,89502","Nevada State Board of Nursing,5011 Meadowwood Mall Way,Ste 300,Reno,89502,United States",0.3777068918531729,"Nevada State Board of Optometry,PO Box 1824,Carson City,89702",0.9997598,"Nevada State Board of Podiatry,PO Box 12215,Reno,89510-2215",0.9659925875712646
"Nevada State Board of Psychological Examiners,P.O. Box 2286,Reno,NV,895052286","Nevada Board of Psychological Examiners,4600 Kietzke Ln,Ste B116,Reno,89502",0.3661805964306846,"Hawaii State Board of Nursing,PO Box 3469,Honolulu,96801",0.99985296,"Nevada Board of Psychological Examiners,4600 Kietzke Ln,Ste B116,Reno,89502",0.957807420110307
"Nevada State Board of Osteopathic Medicine,2275 Corporate Cir Ste 210,Henderson,NV,89074","Nevada State Board of Osteopathic Medicine,901 American Pacific Dr Ste D,Henderson,89014-7912",0.30863071626454436,"Nevada State Board of Osteopathic Medicine,901 American Pacific Dr Ste D,Henderson,89014-7912",0.9995838,"Nevada State Board of Osteopathic Medicine,901 American Pacific Dr Ste D,Henderson,89014-7912",0.9757345252169107
"California State Board of Medical Examiners,2005 Evergreen St,Ste 1200,Sacramento,CA,95815","Medical Board of California,2005 Evergreen St,Ste 1200,Sacramento,95815-5401,United States",0.7879758848337315,"Vermont Board of Medical Practice,109 State St,Ste 17,Montpelier,5609,United States",0.9998072,"Medical Board of California,2005 Evergreen St,Ste 1200,Sacramento,95815-5401,United States",0.9640206111840056
"State of Illinois department of Professional Regulation,IL","Illinois Department of Professional Regulation-Optometry,320 W Washington St,Springfield,62786",0.48552940242418297,"Texas State Board of Examiners of Professional Counselors,PO Box 149347,Texas Dept of State Health Services, Mc 1982,Austin,78714-9347",0.9994395,"Illinois Department of Professional Regulation,320 W Washington St,Fl 3,Springfield,62701-1142,United States",0.9257127319407146
"State of Nevada Bd of Physical Therapy Examiners,3291 N Buffalo Dr,Ste 100,Las Vegas,NV,89129","Nevada State Board of Physical Therapy Examiners,7570 Norman Rockwell Ln Ste 230,Las Vegas,89143-6013",0.3253150464192722,"Federation of State Board of Physical Therapy,124 S West St,Fl 3,Alexandria,22314-2872,United States",0.99958754,"Nevada State Board of Physical Therapy Examiners,7570 Norman Rockwell Ln Ste 230,Las Vegas,89143-6013",0.9614013721811173
"State of Nevada Board of Marriage & Family Therapists,7324 W Cheyenne,Ste 10,Las Vegas,NV,89129","Nevada Board of Marriage & Family Therapists,PO Box 370130,Las Vegas,89137-0130",0.46075012175215446,"Nebraska State Board of Physical Therapy,301 Centennial Mall S,Division of Regulations & Licensure,Lincoln,68508-2529",0.9997359,"Nevada Board of Marriage & Family Therapists,PO Box 370130,Las Vegas,89137-0130",0.9568383012692159
"Nevada Board of Occupational Therapy,6170 Mae Anne Ave,Ste 1,Reno,NV,89523","Nevada Board of Occupational Therapy,PO Box 34779,Reno,89533-4779",0.28846964391507307,"Maryland Board of Occupational Therapy Practice,55 Wade Ave,Spring Grove Hosp/Rush Bldg,Baltimore,21228",0.9996808,"Nevada Board of Occupational Therapy,PO Box 34779,Reno,89533-4779",0.961880627180429
"State of Nevada Speech-Language Pathology, Audiology & Hearing Aid Dispensing Bd,6170 Mae Anne Ave,Ste 1,Reno,NV,89523","Nevada State Board of Audiology & Speech Pathology,PO Box 70550,Reno,89570",0.32617378393067076,"Puerto Rico Office of Regulation & Certification,PO Box 13969,San Juan,908",0.99968535,"Nevada State Board of Audiology & Speech Pathology,PO Box 70550,Reno,89570",0.9472277309822917
"Nevada State Board of Physical Therapy Examiners,3291 N Buffalo Dr,Ste 100,Las Vegas,NV,89129","Nevada State Board of Physical Therapy Examiners,7570 Norman Rockwell Ln Ste 230,Las Vegas,89143-6013",0.3477065481699278,"Federation of State Board of Physical Therapy,124 S West St,Fl 3,Alexandria,22314-2872,United States",0.9997178,"Nevada State Board of Physical Therapy Examiners,7570 Norman Rockwell Ln Ste 230,Las Vegas,89143-6013",0.9703102062669775
"Physical Therapy Board of California,1434 Howe Avenue Ste., 92,Sacramento,CA,958253291","Physical Therapy Board of California,2005 Evergreen St Ste 1350,Sacramento,95815-3894",0.25789756520834434,Alabama Board of Massage Therapy,0.9996416,"Physical Therapy Board of California,2005 Evergreen St Ste 1350,Sacramento,95815-3894",0.9409073720078136
"California Dental Board,2005 Evergreen Street, Suite 1550,Sacramento,CA,95815","Dental Board of California,2005 Evergreen St Ste 1550,Sacramento,95815-3894",0.7268922089434868,"California Dental Hygiene Committee,2005 Evergreen St,Ste 2050,Sacramento,95815",0.9995888,"Dental Board of California,2005 Evergreen St Ste 1550,Sacramento,95815-3894",0.9713682735038283
"State of Georgia - Nursing Board,237 Coliseum Dr,Macon,GA,31217","Georgia Board of Nursing,237 Coliseum Dr,Macon,31217-3858,United States",0.8005104674285511,"The State of Wisconsin Dietitians Affiliated Credentialing Board,4822 Madison Yards Way,Madison,53705",0.99959266,"Georgia Board of Nursing,237 Coliseum Dr,Macon,31217-3858,United States",0.9731273029837374
"California DCA- Registered Nurses,Sacramento,CA",Association of Registered Nurses of Newfoundland,0.37501813305744225,"California Physician Assistant Board,2005 Evergreen St,Ste 1100,Sacramento,95815-3893,United States",0.9991675,"California Board of Registered Nursing,PO Box 944210,Sacramento,94244,United States",0.8980855118182307
"Iowa State Board of Medical Examiners,State Capitol Complex,Executive Hills West,Des Moines,IA,50319","Iowa Board of Nursing,State Capital Complex,1223 E Court Ave,Des Moines,50319,United States",0.484336911130378,"Hawaii Board of Medical Examiners/Division of Professional Licensing,PO Box 3469,Honolulu,96801",0.99970764,"Iowa State Board of Dental Examiners,400 Sw 8Th St Ste C,Des Moines,50309,United States",0.9255011947043216
"Minnesota Board of Medical Practice,University Park Plaza,2829 University Ave, SE Ste., #400,Minneapolis,MN,554143246","Minnesota Board of Medical Practice-Physician Assistant,2829 University Ave Se,Ste 400,Minneapolis,55413-2054",0.5758462880831708,"Idaho Board of Medicine Naturopathic Medical Board,PO Box 83720,Boise,83720,United States",0.9997838,"Minnesota Board of Medical Practice-Physician Assistant,2829 University Ave Se,Ste 400,Minneapolis,55413-2054",0.9449836953331562
"Wisconsin Medical Examining Board,1400 East Washington Ave,P.O. Box 8935,Madison,WI,53708","Wisconsin Dentistry Examining Board,PO Box 8935,Madison,53708",0.6797012841190383,"New Jersey State Medical Board,PO Box 183,Document Management Unit / License Verification,Trenton,08625-0183",0.9994931,"Wisconsin Medical Examining Board,PO Box 8366,Madison,53708",0.9792010274281312
"Florida Board of Nursing,FL",Florida Department of Motor Vehicles,0.3608152113978281,"Pennsylvania State Board of Licensed Acupuncture,PO Box 2649,C/O State Board of Osteopathic Medicine,Harrisburg,17105-2649",0.9995737,"Florida Board of Nursing,4052 Bald Cypress Way, Bin C-02,Tallahassee,32399-3252",0.909912105357758
"Singapore Medical Council,College of Medicine Building,16 College Road #01-01","Ontario College of Physicians/Surgeons,80 College St,Toronto,M5G 2E2",0.1929191784922051,"American Board of Wound Healing,6737 W Washington St,Ste 3265,Saint Francis,53235,United States",0.9996463,"Medical Council of Hong Kong,99 Wong Chuk Hang Rd,Jockey Club Bldg,Aberdeen,Hong Kong",0.8713196548899412
"State of Nevada Board of Psychological Examiners,P. O. Box 2286,Reno,NV,895052286","Nevada Board of Psychological Examiners,4600 Kietzke Ln,Ste B116,Reno,89502",0.36829374976131773,"State of Wisconsin Board of Nursing,PO Box 8935,Madison,53708-8935",0.99983466,"Nevada Board of Psychological Examiners,4600 Kietzke Ln,Ste B116,Reno,89502",0.9562371359303364
"Texas Medical Board,PO Box 2029,Austin,TX,787682029","Texas State Board of Podiatric Medical Examiners,PO Box 12216,Austin,78711-2216",0.2836197479863814,"Wisconsin Medical Examining Board,PO Box 8366,Madison,53708",0.9996747,"Texas Medical Board-Physician Assistants,PO Box 2018,Mc 240,Austin,78768-2018",0.9371673363541221
"Utah State Board of Medical Examiners,160 East 300 S,2nd Fl,Salt Lake City,UT,84114","Utah Department of Commerce,160 E 300 S,Salt Lake City,84111,United States",0.5070893564483636,"Utah State Board of Nursing,PO Box 146741,Salt Lake City,84114-6741",0.999781,"Utah State Board of Nursing,PO Box 146741,Salt Lake City,84114-6741",0.9299969267921111
"Washington State Department of Health,PO Box 47877,Olympia,WA,98504","Washington State Health Professions Quality Assurance,PO Box 47877,Olympia,98504-7877",0.6196882735953684,"Washington State Department of Health Professions,PO Box 47867,Chiropractic Section,Olympia,98504-7867",0.99980444,"Washington State Health Professions Quality Assurance,PO Box 47877,Olympia,98504-7877",0.9497989836079803
"Wyoming Board of Medicine,Barrett Building - 2nd Floor,Cheyenne,WY,82002","Wyoming Board of Occupational Therapy,2001 Capitol Ave,Cheyenne,82002,United States",0.3938193178475847,"Maryland Board of Social Work Examiners,4201 Patterson Ave,Baltimore,21215",0.99969816,"Wyoming Board of Medicine,130 Hobbs Ave Ste A,Cheyenne,82009-4723",0.9268361206071474
"Idaho Board of Medicine,345 Bobwhite Ct.,Ste 150,Boise,ID,83706","Idaho Board of Medicine,1755 N Westgate Dr,Boise,83704",0.26080203449950623,"Wisconsin Board of Optometry,PO Box 8935,Dept of Regulation/Licensing,Madison,53708-8935",0.9992773,"Idaho Board of Medicine,1755 N Westgate Dr,Boise,83704",0.9435007761913572
"State of Utah Department of Commerce,UT","Utah Department of Commerce,160 E 300 S,Salt Lake City,84111,United States",0.4033106117302327,"State of Wisconsin Board of Nursing,PO Box 8935,Madison,53708-8935",0.99942416,"Utah Department of Commerce,160 E 300 S,Salt Lake City,84111,United States",0.9273646311651502
"South Carolina Medical Board,1220 Pickins St,P.O. Box 12245,Columbia,SC,29211","South Carolina Board of Physical Therapy,PO Box 11329,Columbia,29211",0.41692838073051125,"North Carolina Medical Board,3127 Smoketree Ct,Po Box 20007,Raleigh,27604,United States",0.9995452,"South Carolina State Board of Medical Examiners,PO Box 11289,Licensure Verification,Columbia,29211-1289",0.932506258834472
"Florida Department of Health,PO Box 6320,Tallahassee,FL,32314","Division of Quality Assurance Osteopathic Licensure,PO Box 6320,Tallahassee,32314-6320",0.6920053589756575,"Pennsylvania Department of Health,PO Box 2649,Harrisburg,17105",0.9997898,"State of Florida Department of Health,4052 Bald Cypress Way,Tallahassee,32399,United States",0.9313622674261961
"Alabama State Board of Medical Examiners,P.O. Box 946,Montgomery,AL,36101","Alabama Board of Medical Examiners & Medical Licensure Commission of Alabama,PO Box 946,Montgomery,36101,United States",0.7419002213016129,"Idaho State Board of Medical Examiners,PO Box 83720,Boise,83720-0058",0.99988854,"Alabama Board of Medical Examiners & Medical Licensure Commission of Alabama,PO Box 946,Montgomery,36101,United States",0.9742086701115121
"Illinois Board of Medical Examiners,320 W Washington St. Rm 041,Springfield,IL,62786","Illinois Board of Speech-Language, Audiology,320 W Washington St,Springfield,62786",0.6015473680220829,"Medical Licensing Board of Indiana,402 W Washington St,Indianapolis,46204,United States",0.9998244,"Illinois State Medical Society,600 S 2Nd St,Ste 200,Springfield,62704-2578",0.9191467737549954
"Nebraska Department of Health & Human Services,PO Box 94986,Lincoln,NE,685094986","Nebraska Department of Health & Human Services,PO Box 94986,Credentialing Division,Lincoln,68509,United States",0.6752957457941449,Montana Department of Public Health & Human Services,0.99984765,"Nebraska Department of Health Human Services/Business,PO Box 95026,Licensing and Registrations,Lincoln,68509-5026",0.9689715459202131
"New Jersey State Medical Board,28 West State St,Rm 602,Trenton,NJ,08608","New Jersey Emergency Medical Services,PO Box 360,Trenton,8625,United States",0.2794283375156114,"New York State Department of Health/Radiologist Technologists,547 River St,Ste 530,Troy,12180-2269",0.9994955,"New Jersey State Medical Board,PO Box 183,Document Management Unit / License Verification,Trenton,08625-0183",0.9537033250482337
"Puerto Rico board of Medical Licensure and Discipline,PO Box 13969,San Juan,PR","Puerto Rico Office of Regulation & Certification,PO Box 13969,San Juan,908",0.5943466421758117,"Puerto Rico Office of Regulation & Certification,PO Box 13969,San Juan,908",0.99968964,"Puerto Rico Board of Medical Licensure & Discipline,8831 S Redwood Rd,West Jordan,84088",0.929497811913052
"South Dakota State Board of Medical and Osteopathic Examiners,1323 Minnesota Ave S,Sioux Falls,SD,57105","South Dakota Board of Medical/Osteopathic Examiners,101 N Main Ave Ste 301,Sioux Falls,57104-6411",0.43477941952487675,"North Dakota State Board of Medical Examiners,418 E Broadway Ave,Ste 12,Bismarck,58501,United States",0.9996959,"South Dakota Board of Medical/Osteopathic Examiners,101 N Main Ave Ste 301,Sioux Falls,57104-6411",0.9807742332182875
"Wisconsin Department of Safety and Professional Services,55 N Dickinson St,Madison,WI,53703","Wisconsin Department of Safety & Professional Services,1400 E Washington Ave,Madison,53703",0.6212354991037542,"Oklahoma Department of Motor Vehicles,3600 N Martin Luther King Ave,Oklahoma City,73111-4223,United States",0.99975944,"Wisconsin Department of Safety & Professional Services,1400 E Washington Ave,Madison,53703",0.9686117463137588
"Missouri State Board of Registration for the Healing Arts,3605 Missouri Blvd,Jefferson City,MO,65102","Missouri Board of Registration for the Healing Arts,PO Box 4,Jefferson City,65102",0.8066017673802796,"Missouri Board of Registration for the Healing Arts,PO Box 4,Jefferson City,65102",0.99977046,"Missouri Board of Registration for the Healing Arts,PO Box 4,Jefferson City,65102",0.97460654600597
"Georgia Medical Board,2 Peachtree St NW,36th Fl,Atlanta,GA,30303","Georgia Board of Pharmacy,2 Peachtree St Nw,Atlanta,30303",0.6955299417175237,"Georgia Composite Medical Board,2 Peachtree St Nw,Fl 6,Atlanta,30303-3142,United States",0.9997751,"Georgia Composite Medical Board,2 Peachtree St Nw,Fl 6,Atlanta,30303-3142,United States",0.9653360924595015
